model_name,split,metric,value
LightGBM_2025-07-13,train,rmse,16975.8108
LightGBM_2025-07-13,train,mae,12659.0566
LightGBM_2025-07-13,train,mape,17.9218
LightGBM_2025-07-13,test,rmse,25675.9871
LightGBM_2025-07-13,test,mae,23160.3644
LightGBM_2025-07-13,test,mape,14.2817
LightGBM_2025-07-13,train,rmse,8775.6244
LightGBM_2025-07-13,train,mae,6678.6527
LightGBM_2025-07-13,train,mape,9.3684
LightGBM_2025-07-13,test,rmse,30177.7081
LightGBM_2025-07-13,test,mae,27986.5038
LightGBM_2025-07-13,test,mape,17.2219
LightGBM_2025-07-13,train,rmse,11507.5935
LightGBM_2025-07-13,train,mae,8705.1604
LightGBM_2025-07-13,train,mape,11.6246
LightGBM_2025-07-13,test,rmse,30175.5494
LightGBM_2025-07-13,test,mae,26745.9632
LightGBM_2025-07-13,test,mape,16.504
LightGBM_2025-07-13,train,rmse,15539.8057
LightGBM_2025-07-13,train,mae,11638.3414
LightGBM_2025-07-13,train,mape,16.1687
LightGBM_2025-07-13,test,rmse,27704.9799
LightGBM_2025-07-13,test,mae,25520.0785
LightGBM_2025-07-13,test,mape,15.8346
LightGBM_2025-07-13,train,rmse,9069.4904
LightGBM_2025-07-13,train,mae,6932.9734
LightGBM_2025-07-13,train,mape,9.2063
LightGBM_2025-07-13,test,rmse,27473.1027
LightGBM_2025-07-13,test,mae,25046.0103
LightGBM_2025-07-13,test,mape,15.4751
LightGBM_2025-07-13,train,rmse,16406.3142
LightGBM_2025-07-13,train,mae,12165.8159
LightGBM_2025-07-13,train,mape,17.3241
LightGBM_2025-07-13,test,rmse,24007.6154
LightGBM_2025-07-13,test,mae,21280.6722
LightGBM_2025-07-13,test,mape,13.1915
LightGBM_2025-07-13,train,rmse,10517.4101
LightGBM_2025-07-13,train,mae,7998.6838
LightGBM_2025-07-13,train,mape,10.8648
LightGBM_2025-07-13,test,rmse,27581.938
LightGBM_2025-07-13,test,mae,24932.1631
LightGBM_2025-07-13,test,mape,15.4749
